,score
input.aplrob03a.gz,0.44875
input.aplrob03b.gz,0.36625
input.aplrob03c.gz,0.38500000000000006
input.aplrob03d.gz,0.3949999999999999
input.aplrob03e.gz,0.36875
input.fub03IeOLKe3.gz,0.39875000000000005
input.fub03InB2e3.gz,0.43
input.fub03IneOBu3.gz,0.39749999999999996
input.fub03IneOLe3.gz,0.39
input.fub03InOLe3.gz,0.4125
input.humR03d.gz,0.4
input.humR03dc.gz,0.225
input.humR03de.gz,0.42375000000000007
input.InexpC2.gz,0.3775
input.InexpC2QE.gz,0.39
input.MU03rob01.gz,0.365
input.MU03rob02.gz,0.4225
input.MU03rob03.gz,0.345
input.MU03rob04.gz,0.395
input.MU03rob05.gz,0.3775
input.NLPR03vb10.gz,0.39875
input.NLPR03vb25.gz,0.39875
input.NLPR03vb50.gz,0.39875
input.NLPR03w16.gz,0.375
input.NLPR03w49.gz,0.375
input.UIUC03Rd1.gz,0.38625
input.UIUC03Rd2.gz,0.39
input.UIUC03Rd3.gz,0.39875
input.UIUC03Rt1.gz,0.33625
input.UIUC03Rtd1.gz,0.43125
