,score
input.aplrob03a.gz,0.44375
input.aplrob03b.gz,0.3575
input.aplrob03c.gz,0.38375000000000004
input.aplrob03d.gz,0.3975
input.aplrob03e.gz,0.34875000000000006
input.fub03IeOLKe3.gz,0.40374999999999994
input.fub03InB2e3.gz,0.41375
input.fub03IneOBu3.gz,0.395
input.fub03IneOLe3.gz,0.3950000000000001
input.fub03InOLe3.gz,0.4025
input.humR03d.gz,0.38875
input.humR03dc.gz,0.22125000000000003
input.humR03de.gz,0.42874999999999996
input.InexpC2.gz,0.37124999999999997
input.InexpC2QE.gz,0.3675
input.MU03rob01.gz,0.35500000000000004
input.MU03rob02.gz,0.41000000000000003
input.MU03rob03.gz,0.3325
input.MU03rob04.gz,0.38625
input.MU03rob05.gz,0.35625
input.NLPR03vb10.gz,0.38
input.NLPR03vb25.gz,0.38
input.NLPR03vb50.gz,0.38
input.NLPR03w16.gz,0.345
input.NLPR03w49.gz,0.345
input.UIUC03Rd1.gz,0.3875
input.UIUC03Rd2.gz,0.3875
input.UIUC03Rd3.gz,0.39249999999999996
input.UIUC03Rt1.gz,0.34
input.UIUC03Rtd1.gz,0.42375000000000007
