,score
input.aplrob03a.gz,0.46125
input.aplrob03b.gz,0.35875
input.aplrob03c.gz,0.38499999999999995
input.aplrob03d.gz,0.38999999999999996
input.aplrob03e.gz,0.36
input.fub03IeOLKe3.gz,0.4175
input.fub03InB2e3.gz,0.42874999999999996
input.fub03IneOBu3.gz,0.40124999999999994
input.fub03IneOLe3.gz,0.4074999999999999
input.fub03InOLe3.gz,0.42374999999999996
input.humR03d.gz,0.38625
input.humR03dc.gz,0.22874999999999995
input.humR03de.gz,0.42374999999999996
input.InexpC2.gz,0.38999999999999996
input.InexpC2QE.gz,0.40625
input.MU03rob01.gz,0.36625
input.MU03rob02.gz,0.4375
input.MU03rob03.gz,0.37
input.MU03rob04.gz,0.40625
input.MU03rob05.gz,0.3925
input.NLPR03vb10.gz,0.41875
input.NLPR03vb25.gz,0.41875
input.NLPR03vb50.gz,0.41875
input.NLPR03w16.gz,0.38499999999999995
input.NLPR03w49.gz,0.38499999999999995
input.UIUC03Rd1.gz,0.39125
input.UIUC03Rd2.gz,0.3925
input.UIUC03Rd3.gz,0.40125
input.UIUC03Rt1.gz,0.3662500000000001
input.UIUC03Rtd1.gz,0.4375
