,score
input.acqnt1.gz,0.3
input.assctv1.gz,0.6325000000000001
input.assctv2.gz,0.6875
input.brkly6.gz,0.635
input.brkly7.gz,0.7074999999999999
input.citri1.gz,0.515
input.citri2.gz,0.525
input.citya1.gz,0.705
input.citya2.gz,0.695
input.clarta.gz,0.515
input.clartm.gz,0.43249999999999994
input.crnlea.gz,0.5450000000000002
input.crnlla.gz,0.655
input.dortd1.gz,0.44749999999999995
input.dortd2.gz,0.49250000000000005
input.erima1.gz,0.3925
input.eth001.gz,0.5675000000000001
input.eth002.gz,0.635
input.inq101.gz,0.6525000000000001
input.inq102.gz,0.72
input.lsia0mf.gz,0.43249999999999994
input.lsia0mw2.gz,0.45
input.nyuir1.gz,0.52
input.nyuir2.gz,0.5275
input.padre2.gz,0.355
input.pircs1.gz,0.61
input.pircs2.gz,0.6025
input.rutfua1.gz,0.49749999999999994
input.rutfua2.gz,0.4525
input.siems1.gz,0.4699999999999999
input.siems2.gz,0.395
input.topic3.gz,0.05500000000000001
input.virtu1.gz,0.1525
input.vtc2s2.gz,0.6125
input.vtc5s2.gz,0.5975
input.westp1.gz,0.6125
input.xerox3.gz,0.39
input.xerox4.gz,0.3225
