,score
input.acqnt1.gz,0.35
input.assctv1.gz,0.6875
input.assctv2.gz,0.6975
input.brkly6.gz,0.6599999999999999
input.brkly7.gz,0.7224999999999999
input.citri1.gz,0.5325
input.citri2.gz,0.5475
input.citya1.gz,0.7025
input.citya2.gz,0.7075
input.clarta.gz,0.55
input.clartm.gz,0.4574999999999999
input.crnlea.gz,0.5625
input.crnlla.gz,0.635
input.dortd1.gz,0.44749999999999995
input.dortd2.gz,0.485
input.erima1.gz,0.445
input.eth001.gz,0.575
input.eth002.gz,0.645
input.inq101.gz,0.655
input.inq102.gz,0.72
input.lsia0mf.gz,0.445
input.lsia0mw2.gz,0.465
input.nyuir1.gz,0.5549999999999999
input.nyuir2.gz,0.565
input.padre2.gz,0.355
input.pircs1.gz,0.6199999999999999
input.pircs2.gz,0.6275000000000001
input.rutfua1.gz,0.5375
input.rutfua2.gz,0.4725
input.siems1.gz,0.48250000000000004
input.siems2.gz,0.4025
input.topic3.gz,0.085
input.virtu1.gz,0.175
input.vtc2s2.gz,0.6275000000000001
input.vtc5s2.gz,0.5925
input.westp1.gz,0.6325
input.xerox3.gz,0.4025
input.xerox4.gz,0.3225
