,score
input.acqnt1.gz,0.05964037028377944
input.assctv1.gz,0.22993980627184615
input.assctv2.gz,0.2366972147092107
input.brkly6.gz,0.1871935083375624
input.brkly7.gz,0.2527712316794304
input.citri1.gz,0.16535955043535933
input.citri2.gz,0.15763404556580773
input.citya1.gz,0.2544133536043671
input.citya2.gz,0.22173873627707402
input.clarta.gz,0.17073481821480974
input.clartm.gz,0.14442014159706767
input.crnlea.gz,0.20654423123168902
input.crnlla.gz,0.21485461816795332
input.dortd1.gz,0.15336188592321834
input.dortd2.gz,0.16290952497427563
input.erima1.gz,0.13417807848912983
input.eth001.gz,0.17802166014736598
input.eth002.gz,0.19620541113682588
input.inq101.gz,0.24172594406776238
input.inq102.gz,0.28397417668378583
input.lsia0mf.gz,0.14316020008255653
input.lsia0mw2.gz,0.1481779465017167
input.nyuir1.gz,0.18435741967380875
input.nyuir2.gz,0.1853036027518453
input.padre2.gz,0.1066736559045958
input.pircs1.gz,0.2085247054540484
input.pircs2.gz,0.19278014746548958
input.rutfua1.gz,0.1686147338923769
input.rutfua2.gz,0.14858471141474247
input.siems1.gz,0.11911748691351287
input.siems2.gz,0.08707838544438948
input.topic3.gz,0.0075006521077005854
input.virtu1.gz,0.030767298418007794
input.vtc2s2.gz,0.19328950024367164
input.vtc5s2.gz,0.18628007846356612
input.westp1.gz,0.21603552561610123
input.xerox3.gz,0.13508879182624983
input.xerox4.gz,0.10527035406535815
