,score
input.acqnt1.gz,0.32
input.assctv1.gz,0.6224999999999999
input.assctv2.gz,0.6300000000000001
input.brkly6.gz,0.6050000000000001
input.brkly7.gz,0.675
input.citri1.gz,0.5025000000000001
input.citri2.gz,0.515
input.citya1.gz,0.7074999999999999
input.citya2.gz,0.6599999999999999
input.clarta.gz,0.49000000000000005
input.clartm.gz,0.41
input.crnlea.gz,0.5349999999999999
input.crnlla.gz,0.6100000000000001
input.dortd1.gz,0.41
input.dortd2.gz,0.4625
input.erima1.gz,0.3875
input.eth001.gz,0.5475
input.eth002.gz,0.61
input.inq101.gz,0.6424999999999998
input.inq102.gz,0.6875
input.lsia0mf.gz,0.41500000000000004
input.lsia0mw2.gz,0.4325
input.nyuir1.gz,0.5125
input.nyuir2.gz,0.5225
input.padre2.gz,0.3625
input.pircs1.gz,0.5800000000000001
input.pircs2.gz,0.5800000000000001
input.rutfua1.gz,0.5
input.rutfua2.gz,0.4575
input.siems1.gz,0.44749999999999995
input.siems2.gz,0.37249999999999994
input.topic3.gz,0.095
input.virtu1.gz,0.1525
input.vtc2s2.gz,0.6174999999999999
input.vtc5s2.gz,0.6
input.westp1.gz,0.5900000000000001
input.xerox3.gz,0.37499999999999994
input.xerox4.gz,0.31500000000000006
