,score
input.acqnt1.gz,0.345
input.assctv1.gz,0.6725
input.assctv2.gz,0.695
input.brkly6.gz,0.6475
input.brkly7.gz,0.72
input.citri1.gz,0.525
input.citri2.gz,0.53
input.citya1.gz,0.7300000000000001
input.citya2.gz,0.7025
input.clarta.gz,0.5599999999999999
input.clartm.gz,0.5125
input.crnlea.gz,0.585
input.crnlla.gz,0.6499999999999999
input.dortd1.gz,0.49749999999999994
input.dortd2.gz,0.5325
input.erima1.gz,0.445
input.eth001.gz,0.575
input.eth002.gz,0.6425
input.inq101.gz,0.6799999999999999
input.inq102.gz,0.76
input.lsia0mf.gz,0.4699999999999999
input.lsia0mw2.gz,0.48250000000000004
input.nyuir1.gz,0.6050000000000001
input.nyuir2.gz,0.615
input.padre2.gz,0.38499999999999995
input.pircs1.gz,0.6525000000000001
input.pircs2.gz,0.6375
input.rutfua1.gz,0.585
input.rutfua2.gz,0.5125
input.siems1.gz,0.465
input.siems2.gz,0.4050000000000001
input.topic3.gz,0.09
input.virtu1.gz,0.1825
input.vtc2s2.gz,0.64
input.vtc5s2.gz,0.615
input.westp1.gz,0.6625
input.xerox3.gz,0.425
input.xerox4.gz,0.365
