r1,weight
input.InexpC2.gz,0.39624999999999844
input.InexpC2QE.gz,0.473749999999999
input.MU03rob01.gz,0.3387499999999992
input.MU03rob02.gz,0.8937499999999989
input.MU03rob04.gz,1.1587499999999995
input.MU03rob05.gz,0.5587499999999999
input.UIUC03Rd1.gz,0.4399999999999995
input.UIUC03Rd2.gz,0.4499999999999993
input.UIUC03Rd3.gz,0.5749999999999993
input.UIUC03Rt1.gz,0.27250000000000085
input.UIUC03Rtd1.gz,0.7412499999999991
input.aplrob03a.gz,1.3999999999999986
input.aplrob03b.gz,0.48749999999999893
input.aplrob03c.gz,0.7362500000000001
input.aplrob03d.gz,0.6037499999999998
input.aplrob03e.gz,0.6150000000000002
input.fub03IeOLKe3.gz,0.47749999999999915
input.fub03InB2e3.gz,0.8949999999999996
input.fub03InOLe3.gz,0.6699999999999999
input.fub03IneOBu3.gz,0.473749999999999
input.fub03IneOLe3.gz,0.4262499999999996
input.humR03d.gz,0.5075000000000003
input.humR03de.gz,0.7887500000000003
