r1,weight
input.acqnt2.gz,1.7149999999999999
input.brkly8.gz,2.0775000000000006
input.cityi1.gz,0.3625000000000007
input.cityr1.gz,3.215
input.cityr2.gz,2.4200000000000017
input.clarta.gz,1.5975000000000001
input.crnlqr.gz,1.9375
input.crnlrr.gz,1.8150000000000013
input.dortr1.gz,1.9575000000000031
input.erimr1.gz,0.21500000000000163
input.eth003.gz,0.40500000000000114
input.eth004.gz,0.6375000000000028
input.fdf1.gz,1.5250000000000021
input.fdf2.gz,1.5150000000000006
input.inq103.gz,1.1400000000000006
input.inq104.gz,1.0274999999999999
input.losPA1.gz,2.0400000000000027
input.lsir1.gz,0.2925000000000004
input.lsir2.gz,2.360000000000003
input.nyuir1.gz,0.0
input.nyuir2.gz,0.620000000000001
input.pircs3.gz,1.5450000000000017
input.pircs4.gz,1.5
input.rutfur1.gz,0.0
input.rutfur2.gz,0.0
input.ucf101.gz,1.7700000000000031
input.westp2.gz,0.8475000000000001
input.xerox1.gz,0.0
input.xerox2.gz,0.0
