,score
input.acqnt2.gz,0.5349999999999999
input.brkly8.gz,0.6125
input.cityi1.gz,0.45500000000000007
input.cityr1.gz,0.6599999999999999
input.cityr2.gz,0.6074999999999999
input.clarta.gz,0.575
input.crnlqr.gz,0.6025
input.crnlrr.gz,0.5974999999999999
input.dortr1.gz,0.595
input.erimr1.gz,0.43499999999999994
input.eth003.gz,0.475
input.eth004.gz,0.5275000000000001
input.fdf1.gz,0.565
input.fdf2.gz,0.5675
input.inq103.gz,0.5925
input.inq104.gz,0.585
input.losPA1.gz,0.5425
input.lsir1.gz,0.425
input.lsir2.gz,0.6325
input.nyuir1.gz,0.43
input.nyuir2.gz,0.5125
input.pircs3.gz,0.575
input.pircs4.gz,0.5650000000000001
input.rutfur1.gz,0.3325
input.rutfur2.gz,0.325
input.ucf101.gz,0.575
input.westp2.gz,0.5599999999999999
input.xerox1.gz,0.4574999999999999
input.xerox2.gz,0.4875
