,score
input.acqnt2.gz,0.14799379651637826
input.brkly8.gz,0.20802028392279787
input.cityi1.gz,0.14332664321734595
input.cityr1.gz,0.24106141911744533
input.cityr2.gz,0.20883904349900478
input.clarta.gz,0.18686777596878396
input.crnlqr.gz,0.20998088829618494
input.crnlrr.gz,0.20626818668480426
input.dortr1.gz,0.21639849338411002
input.erimr1.gz,0.14503692635549542
input.eth003.gz,0.17577466331714686
input.eth004.gz,0.17912734836641087
input.fdf1.gz,0.1749062711482261
input.fdf2.gz,0.1759796460550181
input.inq103.gz,0.20768971803645267
input.inq104.gz,0.2059269689645098
input.losPA1.gz,0.18735939291145898
input.lsir1.gz,0.16531850248193908
input.lsir2.gz,0.21805402393360812
input.nyuir1.gz,0.1467566545050505
input.nyuir2.gz,0.16459827900586257
input.pircs3.gz,0.20865659304016795
input.pircs4.gz,0.20642999006017065
input.rutfur1.gz,0.10826337873664663
input.rutfur2.gz,0.10315803413545113
input.ucf101.gz,0.1725138024091429
input.westp2.gz,0.19745375952029337
input.xerox1.gz,0.13847263055984155
input.xerox2.gz,0.15678237655459035
