,score
input.acqnt2.gz,0.5625
input.brkly8.gz,0.655
input.cityi1.gz,0.55
input.cityr1.gz,0.6975
input.cityr2.gz,0.655
input.clarta.gz,0.6325000000000001
input.crnlqr.gz,0.665
input.crnlrr.gz,0.645
input.dortr1.gz,0.655
input.erimr1.gz,0.515
input.eth003.gz,0.5475
input.eth004.gz,0.5925
input.fdf1.gz,0.6174999999999999
input.fdf2.gz,0.6224999999999999
input.inq103.gz,0.65
input.inq104.gz,0.6325
input.losPA1.gz,0.585
input.lsir1.gz,0.51
input.lsir2.gz,0.6725
input.nyuir1.gz,0.51
input.nyuir2.gz,0.58
input.pircs3.gz,0.6475
input.pircs4.gz,0.6425000000000001
input.rutfur1.gz,0.39749999999999996
input.rutfur2.gz,0.39499999999999996
input.ucf101.gz,0.5974999999999999
input.westp2.gz,0.6199999999999999
input.xerox1.gz,0.4875
input.xerox2.gz,0.5275000000000001
