,score
input.acqnt2.gz,0.615
input.brkly8.gz,0.6875
input.cityi1.gz,0.5
input.cityr1.gz,0.725
input.cityr2.gz,0.6575
input.clarta.gz,0.64
input.crnlqr.gz,0.6625
input.crnlrr.gz,0.645
input.dortr1.gz,0.6525
input.erimr1.gz,0.5175
input.eth003.gz,0.5549999999999999
input.eth004.gz,0.605
input.fdf1.gz,0.6425000000000001
input.fdf2.gz,0.6425
input.inq103.gz,0.6725
input.inq104.gz,0.65
input.losPA1.gz,0.5925
input.lsir1.gz,0.4875
input.lsir2.gz,0.6975
input.nyuir1.gz,0.49499999999999994
input.nyuir2.gz,0.575
input.pircs3.gz,0.6475
input.pircs4.gz,0.635
input.rutfur1.gz,0.3875
input.rutfur2.gz,0.395
input.ucf101.gz,0.62
input.westp2.gz,0.635
input.xerox1.gz,0.47750000000000004
input.xerox2.gz,0.5075000000000001
