,score
input.acqnt2.gz,0.595
input.brkly8.gz,0.6775
input.cityi1.gz,0.5375
input.cityr1.gz,0.6975
input.cityr2.gz,0.6325
input.clarta.gz,0.635
input.crnlqr.gz,0.645
input.crnlrr.gz,0.64
input.dortr1.gz,0.6475
input.erimr1.gz,0.49749999999999994
input.eth003.gz,0.515
input.eth004.gz,0.5775
input.fdf1.gz,0.6025
input.fdf2.gz,0.6125
input.inq103.gz,0.6475
input.inq104.gz,0.6275000000000001
input.losPA1.gz,0.5774999999999999
input.lsir1.gz,0.45500000000000007
input.lsir2.gz,0.6849999999999999
input.nyuir1.gz,0.495
input.nyuir2.gz,0.5574999999999999
input.pircs3.gz,0.6225
input.pircs4.gz,0.6125
input.rutfur1.gz,0.4
input.rutfur2.gz,0.4025
input.ucf101.gz,0.595
input.westp2.gz,0.6175
input.xerox1.gz,0.465
input.xerox2.gz,0.5
